s1, s2, s3, t1, t2, t3
8711799,9007994,8606274,19.4405949116,16.5472898483,110.19037199
8829040,8779055,8606274,19.5673029423,16.4894399643,112.937130928
8692790,9047365,8606274,19.4753930569,16.5041949749,114.320698977
8693286,8623725,8606274,19.8077101707,16.4977889061,121.973471165
8733724,8770688,8606274,21.6645810604,17.3440849781,121.533530951
8794029,8926506,8606274,20.3323919773,17.0641789436,121.288027048
8633422,8890183,8606274,20.256811142,17.0819971561,119.04471302
8679132,8711885,8606274,20.6694090366,17.8407800198,119.675354958
8890569,8786280,8606274,20.3216459751,17.5389859676,117.744503021
8729599,8783493,8606274,20.3089969158,18.1636109352,122.479532003
8742441,9105905,8606274,20.3255138397,17.1385688782,118.136121035
8734182,8709205,8606574,20.6431460381,17.5033710003,122.526638031
8967250,8739028,8606274,20.2411808968,17.0423829556,123.787455082
8762912,8759335,8606274,20.235476017,17.3196730614,117.630598068
8671689,8967765,8609185,20.3651649952,18.1527428627,119.380160093
8768916,8868416,8606274,20.4057531357,17.2083599567,119.710700989
8702908,8772089,8606274,20.226140976,17.0399839878,116.348103046
8739162,8812562,8606274,20.213408947,17.3865451813,118.05464983
8818917,8758439,8606274,20.2137730122,17.6360340118,117.588741064
8726460,8799699,8606274,20.7929141521,17.6611330509,116.093140841
8735410,8926520,8606274,21.1430468559,17.5710799694,115.284192085
8739229,8973055,8606274,20.4052689075,17.7254431248,117.871217012
8674153,8803571,8606274,21.0745670795,17.3831942081,123.772243023
8682755,8756930,8606274,21.2492640018,17.514786005,128.937008142
8700442,8731816,8606274,21.459539175,19.1310350895,123.621695042
8700515,9013318,8606274,20.2630190849,17.5419368744,116.978729963
8914297,8732051,8621255,20.2362580299,17.4120221138,118.078572035
8656798,8687031,8606274,20.3057558537,17.4516179562,114.404086113
8721018,9091041,8617319,20.7814631462,18.7358579636,134.165215015
8726519,8918687,8606274,22.0941488743,19.2568519115,128.325152874
8940695,8969356,8606274,22.038394928,20.5213279724,127.202189922
9041447,9024473,8606274,21.183716774,17.7768890858,125.490319967
8717501,8907488,8606274,21.3437509537,18.6181910038,120.799906969
8682136,8649339,8620370,21.9204678535,19.5249800682,121.944941998
8713494,8859338,8621555,21.6322100163,17.9280059338,116.835612059
8752044,8856392,8606274,20.6721768379,17.9539690018,120.543309927
8705716,8730198,8606274,20.2509000301,17.2834811211,120.295286894
8683643,8620730,8606274,20.2494769096,17.2767810822,116.273608923
8901968,8762685,8606274,20.198526144,17.1673750877,116.940418005
8635041,8801041,8609185,20.1164448261,17.1439709663,113.784703016
8796128,8857206,8606274,19.528635025,16.5447120667,110.040288925
8724486,8730592,8633422,19.5747160912,16.5826251507,114.537604809
8748409,8791154,8606274,20.0087029934,16.7847390175,111.672553062
8857387,8883353,8606274,20.7035019398,16.8479421139,122.432690859
8735410,8875055,8606274,20.095033884,17.3044707775,112.195271969
8734995,8718394,8606274,20.4631838799,17.7203028202,118.461047173
8704467,8821733,8606274,19.5020670891,17.2159659863,114.606153965
8710528,8771001,8606274,20.3386011124,16.7946841717,120.676763058
8682300,8798377,8625982,19.9462811947,17.5513439178,113.89426899
8695590,9078518,8606274,19.9550490379,17.5248889923,119.924817085
