s1, s2, s3, t1, t2, t3
58,61,60,134.105031967,124.229439974,147.137254
58,63,60,133.67978096,123.233902931,143.66140604
58,64,60,130.701559067,118.077466011,141.679381132
58,62,60,128.699250937,118.163234949,141.010500908
58,61,61,131.81778121,126.96034503,142.673608065
58,61,61,128.530174971,118.092221975,138.374569178
58,64,59,128.992601871,117.802059889,144.737552881
58,63,61,128.647435904,118.447235823,140.052856922
58,63,60,128.571002007,118.055932045,141.281530857
58,60,59,128.880114079,118.397369146,162.985218048
58,62,61,131.982018948,121.187601805,150.81404686
58,62,59,131.752607107,120.817070007,141.249615908
58,63,61,131.6847229,120.677111149,147.672513008
58,63,60,131.879430056,120.837161064,146.675271988
58,63,59,132.183372021,120.624227047,143.143934011
58,62,61,132.028904915,120.777478933,141.443352938
58,62,58,132.274183035,121.933723927,151.751954079
58,62,59,131.409542084,120.897567034,140.215202093
58,60,62,131.468910933,120.214666128,148.278985977
58,63,61,131.427372217,121.7920959,149.755743027
58,62,59,132.732297182,138.872743845,169.468296051
58,62,58,162.010910034,154.63568902,189.948068142
58,62,60,132.481803894,121.229695082,146.762105942
58,62,60,131.519222021,121.791235924,148.957158089
58,62,59,135.561655045,128.825166941,150.494230032
58,63,59,140.49306798,125.300468206,155.605850935
58,61,59,141.013282061,130.007148981,152.581110954
58,63,59,139.337696075,127.833806992,149.412322998
58,61,60,139.004294157,125.83357501,152.772348166
58,62,60,137.548819065,126.609447956,153.63116312
