s1, s2, s3, t1, t2, t3
59,69,58,160.325479031,57.7270810604,2379.22835612
60,72,58,157.755544901,58.1880590916,2428.03040099
59,70,58,173.107812881,64.0684330463,2533.25170302
59,70,58,174.828891039,64.8856739998,2546.65198112
59,71,58,172.659403086,63.4473381042,2545.51451588
60,70,58,172.77561903,63.4049389362,2545.78308082
59,70,58,171.668721914,63.1968410015,2444.96584988
59,70,58,167.819895029,61.7994699478,2495.77092791
60,70,58,167.048988104,61.4739851952,2481.00891113
59,70,58,167.08829999,61.5365769863,2471.19844103
59,70,58,167.759616137,61.7102630138,2478.53253293
58,72,58,167.112079144,61.7568161488,2450.08387113
60,70,58,168.335980177,61.5427510738,2476.94343305
59,66,58,167.565968037,61.6461918354,2481.87120104
59,69,58,167.779001951,61.6414380074,2452.37763286
59,71,58,166.970907927,61.4093248844,2490.12397695
60,71,58,167.946916819,61.4765238762,2454.17905092
58,69,58,167.054847002,61.6176888943,2450.34432912
58,70,58,167.071204185,61.4115459919,2420.88722396
60,68,58,166.639752865,61.4400429726,2418.51637411
58,68,58,167.193296909,61.2410981655,2462.03347802
60,66,58,166.806273937,61.3666858673,2440.14357996
60,70,58,167.872508049,61.5189058781,2478.39890194
59,70,58,168.156610012,61.3491709232,2477.63998508
60,70,58,167.297445059,61.3238899708,2453.35044408
61,66,58,167.198919773,61.4942269325,2473.91082883
59,62,58,166.834512949,61.3650968075,2445.78405404
61,66,58,167.139223814,61.4366819859,2448.96600103
59,71,58,168.101485014,61.5331170559,2436.63619184
60,67,58,166.819243193,61.4957470894,2433.6917541
59,70,58,168.218757868,62.02420187,2461.9901998
59,69,58,169.286920071,61.8534770012,2466.53198504
59,70,58,167.109207869,61.3696761131,2466.38596892
