s1, s2, s3, t1, t2, t3
293,293,295,8.5422000885,11.6616530418,24.3619399071
293,289,289,8.61492085457,11.6435101032,23.9119670391
291,293,293,8.48690986633,11.6396801472,24.08624506
295,293,293,8.49340796471,11.6284580231,23.9036309719
293,289,293,8.5191180706,11.6633398533,23.5874359608
289,289,289,8.52347922325,11.6504080296,23.7845468521
289,293,293,8.50306487083,11.6422438622,24.0662550926
289,291,293,8.46800994873,11.6372668743,24.0207440853
293,289,289,8.46823096275,11.650603056,23.7903728485
293,293,291,8.48604893684,11.6467158794,23.6964130402
289,289,289,8.49445104599,11.6392660141,23.3919379711
291,293,289,8.47808289528,11.6394498348,23.9828078747
294,291,291,8.46014213562,11.636687994,24.1742038727
295,291,289,8.49899697304,11.6543400288,24.0724039078
291,293,289,8.50224304199,11.6334631443,23.7392799854
293,289,293,8.49432897568,11.6431231499,24.3073878288
291,293,289,8.51447296143,11.6262190342,23.5079519749
289,291,296,8.47516512871,11.6349079609,23.6959190369
295,291,289,8.5005209446,11.6597549915,23.6459798813
293,293,289,8.49797320366,11.8008821011,23.9067568779
293,293,289,8.48418307304,11.6670160294,23.6782510281
293,293,293,8.47029304504,11.6505129337,23.8903429508
293,289,289,8.48518300056,11.6326711178,23.8123888969
291,293,289,8.50281596184,11.6607999802,24.0318830013
289,291,289,8.49855303764,11.6468160152,23.6414039135
293,291,289,8.47741222382,11.6506919861,23.4176650047
293,289,289,8.56469798088,11.6392560005,23.6765878201
293,291,291,8.44985818863,11.6183159351,23.8119518757
291,293,293,8.47458815575,11.6301219463,23.9611101151
289,293,289,8.48120689392,11.6147880554,23.8653068542
293,293,291,8.48189401627,11.6316449642,23.5226581097
291,291,293,8.50841903687,11.657916069,23.8240361214
293,289,289,8.473706007,11.6192290783,23.5548450947
289,289,289,8.47609901428,11.6359739304,23.9173741341
289,291,291,8.63058495522,11.6740679741,24.0409719944
289,289,291,8.52101898193,11.6486539841,24.4198539257
295,291,289,8.58803701401,11.7690579891,24.0475211143
295,289,293,8.46696901321,11.5966448784,23.8601300716
293,289,289,8.46580004692,11.6475920677,23.5957450867
296,289,293,8.45650100708,11.6405880451,23.5661280155
293,289,289,8.51198601723,11.6473169327,24.0879909992
293,291,293,8.5190320015,11.6627099514,23.31822896
291,289,291,8.46170306206,11.5725898743,23.3944189548
291,291,293,8.45253705978,11.5497009754,23.3940889835
291,291,289,8.43213295937,11.5489618778,23.5613751411
295,289,289,8.43148589134,11.5808019638,24.239634037
293,293,291,8.47998118401,11.5718290806,23.563421011
289,289,293,8.41337203979,11.5515580177,23.7341959476
291,291,289,8.45183801651,11.5727000237,23.5291011333
289,293,289,8.42997193336,11.562019825,23.3491830826
